UserLoation;UserCountry;UserName;text
Boogie Down Bronx ;US;kirkacevedo;\"Why doesn't Someone say 2 the @realDonaldTrump\\nYou are the @POTUS\\nStop being a 71 year old man baby!\\n-AnaNavarro\\nHy https://t.co/Yjt21uVwmF\"
Nashville, TN;US;marc_fredric;'@realDonaldTrump @morningmika I DEMAND A PUBLIC I.Q.TEST. THE LOSER LEAVES THEIR JOB. FAIR ENOUGH? #Resist #ImpeachTrump #ACLU #MSNBC #CNN'
BFB outside Milwaukee, WI;US;EccentricOneKJL;\"@SarahHuckabee praised @realDonaldTrump 4 pushing back fire w/fire. GOOD GOD. HE'S @POTUS  Schoolyard retaliations R 4 KIDS. GROW THE F UP!\"
Immerwoanders;DE;MikaUnglaublich;\",Low I.Q Crazy Mika' ... so was, ist ja fast eine Ehre von @realDonaldTrump ... ist aber @morningmika gemeint \;) https://t.co/PLFbjSv1Z2\"
Los Angeles;US;mysxybestfriend;'God, I looove @ananavarro so much! Speaking truth to power like a savage! @realDonaldTrump is a sad disgrace to the presidency. '
Da Bronx in Merica.;US;gioyadi15;'@realDonaldTrump @_Makada_ Any network that does THIS to its own women has absolutely no moral grounds to make that https://t.co/m2gCqdiQrH'
Manchester, NH ;US;kyriakoutsakos;'@ananavarro just watched you on CNN. You are an amazing and strong woman...the kind the President is afraid of. @realDonaldTrump is a '
South Carolina, USA;US;spotter10701;\"Not only is this not presidential it's disgusting and behavior one would expect from a mentally unstable person not https://t.co/sShasTe5wK\"
Moon, PA;US;Parry2Shawn;'@realDonaldTrump #PresidentTrump I support you unconditionally, I believe we all feel that way. Ignore the #MSM re https://t.co/HPkixPz3YJ'
Kentucky, USA;US;MKRIZSA50;'@realDonaldTrump #Desperation setting in, dude?\\n#TrumpCrimeFamilyGoingDown https://t.co/ShAFkCy1Li'
Washington DC #DCA;US;BrandonDuh;\"@realDonaldTrump You're mean, a bully and an embarrassment to the office of @POTUS - it's time to go and then we can #MAGA\"
United States of America;US;outerspacemanII;'@Sen_JoeManchin @realDonaldTrump #AMERICA witness 2 FIRST person occupy ONCE #OVALOFFICE NOW #CESSPOOL #trump being https://t.co/X34XpoaSG9'
DFW USA;US;crewoldt;'@realDonaldTrump Your comments &amp\; behavior are beneath the dignity of the office of the POTUS. There is only one age https://t.co/pEEHARWLXB'
Los Angeles;US;LinglingM;\"I don't think we shd condemn @realDonaldTrump He is consistent with his behaviour even b4 he was elected. I blame those who voted him in.\"
Scottsdale, AZ;US;ToddHeadleeAZ;'@FoxNews @LindseyGrahamSC @realDonaldTrump @Morning_Joe Where was sellout @LindseyGrahamSC when Mika &amp\; Joe were tra https://t.co/l2A5IVg0Pf'
Florida, USA;US;GWinfl55;'@AliFritters @FoxNews @LindseyGrahamSC @realDonaldTrump @Morning_Joe We do see wrong in it. But, like dems and libe https://t.co/3pt4TycuCy'
Harrisburg, PA;US;Koons17112;'That tweet .@realDonaldTrump sent this morning proves he is mentally ill! An embarrassment to America. We need to invoke 25th Amendment.'
nearby...;US;Tom_Arrr;'How can anyone\; conservative.., liberal.., libertarian.., or barbarian, follow the lead of a piece of shit like thi https://t.co/kfWyHkDsRi'
Tallahassee, FL;US;ignaciaaraya_;'HEHDBDIENSNXDNJSS https://t.co/agB2cZDDdC'
Houston, TX;US;SusanPoe7;'None! https://t.co/PsaZK3z6GV'
BFB outside Milwaukee, WI;US;EccentricOneKJL;\"@SarahHuckabee praised @realDonaldTrump 4 pushing back fire w/fire. GOOD GOD. HE'S @POTUS  Schoolyard retaliations R 4 KIDS. GROW THE F UP!\"
Danbury, CT;US;AdeleAlonso;'@realDonaldTrump This is crazy. Do you really think grandparents are terrorists? https://t.co/kNhW8F6iZh'
Dracut, MA;US;Scondrasht;\"@FoxNews @LindseyGrahamSC @realDonaldTrump @Morning_Joe This is the problem. Trump doesn't like being picked on. Me https://t.co/2nWmQ7uceK\"
New Jersey/New York USA;US;Joey_DigsYou2;'.@realDonaldTrump This mental midget is more worried about Morning Joe &amp\; Mika than the nuclear threat than his equi https://t.co/XiAhuGmeOf'
Charlotte, NC;US;mstammylynne;'@realDonaldTrump You are disgusting and a perfect example for our youth on how NOT to act.'
Kansas City, MO;US;ScottCoons4;'@morningmika Keep it up! &amp\; confront @realDonaldTrump on every lie'
florida;US;parlayjay41366;'@JoeNBC do you get the feeling that the USA owes the country and the world a courtesy flush for @realDonaldTrump.  #mikabrezinski'
IOWA  USA;US;wilbillbillie;'@realDonaldTrump #PATHETIC #WEAK #illegitimatePresident https://t.co/CiEDkbQORb'
San Marcos California;US;SOCALRE4U;\"You mean as possible paybacks for giving\\n@realDonaldTrump the presidency, don't you? https://t.co/jwJp9DxkIa\"
United States;US;SharonSloan11;'@realDonaldTrump Neck is sore from Smh, once again'
Ronkonkoma, NY;US;Amoney666;'This is EPIC. No more nuclear codes for you, @realDonaldTrump. Time to get this lunatic out of here! https://t.co/dw5LWZUJAy'
Las Vegas;US;RashErika;\"Wow! The fact that U don't know what is so great about America is sad! People like u should go live anywhere else t https://t.co/1ayOoC23Wm\"
Sherman Oaks, Ca;US;kimtuv;\"Really @POTUS @realDonaldTrump is this what you think the presidency is all about? Personal attacks on the media? You're a JOKE!\"
Laurelton, Queens;US;MiaNYCNY;\"@VlanTrunk @DavidCornDC @Donnalee711 @realDonaldTrump they say you don't have a Penis\"
Birmingham UK;GB;Dieppe76France;'@realDonaldTrump #winning'
Raleigh, NC;US;camperrevamper;'Read this @realDonaldTrump https://t.co/Aeju5YPxkE'
The Evergreen State;US;jafabian123;'@realDonaldTrump @Morning_Joe Try rising above it instead of mud slinging.  Better results and more respect.'
Maryland, USA;US;TeishaHarry1;'@realDonaldTrump u are such an awful person!  Liar, racist, bully, I could go on!!  Do America a favor &amp\; resign, sane America hates u!!'
Florida, USA;US;frankrmcc;'https://t.co/pwb8BI932r ANOTHER LYING @TheDemocrats hypocrite @clairecmc accuses @POTUS @realDonaldTrump WHAT SHE IS GUILTY OF'
Twin city area, MN;US;rgwiese;\"@LindseyGrahamSC Where is your outrage when they spew vile and false accusations about @realDonaldTrump .. You're d https://t.co/H4OU9zqPBo\"
Los Angeles;US;erhosi2;\"@realDonaldTrump's very person is shocking and distressing. But in a democracy, you get what (some of) you vote for. Thanks 'Murca! #MAGA\"
NY - LA - SF - Everywhere;US;ProPianoUSA;'@Nigel_Farage @realDonaldTrump @PrisonPlanet #WitchHunters @CNNpolitics'
